parents,labels,num.obs
,Animalia,486
,Fungi,83
,Plantae,719
Animalia,Annelida,1
Animalia,Arthropoda,271
Animalia,Chordata,210
Animalia,Mollusca,3
Animalia,Porifera,1
Fungi,Ascomycota,42
Fungi,Basidiomycota,41
Plantae,Bryophyta,7
Plantae,Marchantiophyta,3
Plantae,Tracheophyta,709
Annelida,Clitellata,1
Arthropoda,Arachnida,24
Arthropoda,Insecta,247
Chordata,Actinopterygii,10
Chordata,Amphibia,34
Chordata,Aves,76
Chordata,Mammalia,66
Chordata,Reptilia,24
Mollusca,Bivalvia,2
Mollusca,Gastropoda,1
Porifera,Demospongiae,1
Ascomycota,Lecanoromycetes,36
Ascomycota,Pezizomycetes,1
Ascomycota,Sordariomycetes,4
Ascomycota,Taphrinomycetes,1
Basidiomycota,Agaricomycetes,39
Basidiomycota,Dacrymycetes,1
Basidiomycota,Tremellomycetes,1
Bryophyta,Bryopsida,1
Bryophyta,Polytrichopsida,6
Marchantiophyta,Jungermanniopsida,2
Marchantiophyta,Marchantiopsida,1
Tracheophyta,Liliopsida,92
Tracheophyta,Lycopodiopsida,23
Tracheophyta,Magnoliopsida,511
Tracheophyta,Pinopsida,38
Tracheophyta,Polypodiopsida,45
