year,park,visits
1919,ACAD,64000
1920,ACAD,66500
1921,ACAD,69836
1922,ACAD,73779
1923,ACAD,64200
1924,ACAD,71758
1925,ACAD,73673
1926,ACAD,101256
1927,ACAD,123699
1928,ACAD,134897
1929,ACAD,149554
1930,ACAD,154734
1931,ACAD,162238
1932,ACAD,237596
1933,ACAD,262712
1934,ACAD,275956
1935,ACAD,316114
1936,ACAD,340393
1937,ACAD,383036
1938,ACAD,394319
1939,ACAD,396468
1940,ACAD,382084
1941,ACAD,409961
1942,ACAD,36544
1943,ACAD,8246
1944,ACAD,12916
1945,ACAD,20200
1946,ACAD,382390
1947,ACAD,434069
1948,ACAD,420846
1949,ACAD,438584
1950,ACAD,485220
1951,ACAD,518556
1952,ACAD,549075
1953,ACAD,556195
1954,ACAD,553800
1955,ACAD,655000
1956,ACAD,735500
1957,ACAD,858900
1958,ACAD,816500
1959,ACAD,755900
1960,ACAD,1638200
1961,ACAD,1574600
1962,ACAD,1601500
1963,ACAD,1864800
1964,ACAD,2011600
1965,ACAD,1733600
1966,ACAD,2158400
1967,ACAD,2102000
1968,ACAD,2303300
1969,ACAD,2489800
1970,ACAD,2776300
1971,ACAD,2101100
1972,ACAD,2285881
1973,ACAD,2394000
1974,ACAD,2335800
1975,ACAD,2380500
1976,ACAD,2353300
1977,ACAD,2734600
1978,ACAD,2684933
1979,ACAD,2787366
1980,ACAD,2779666
1981,ACAD,2997972
1982,ACAD,3572114
1983,ACAD,4124639
1984,ACAD,3734763
1985,ACAD,3745570
1986,ACAD,3929054
1987,ACAD,4288154
1988,ACAD,4502283
1989,ACAD,5440952
1990,ACAD,2339591
1991,ACAD,2475857
1992,ACAD,2382113
1993,ACAD,2656034
1994,ACAD,2710749
1995,ACAD,2845378
1996,ACAD,2704831
1997,ACAD,2760306
1998,ACAD,2594497
1999,ACAD,2602227
2000,ACAD,2469238
2001,ACAD,2516551
2002,ACAD,2558572
2003,ACAD,2431062
2004,ACAD,2207847
2005,ACAD,2051484
2006,ACAD,2083588
2007,ACAD,2202228
2008,ACAD,2075857
2009,ACAD,2227698
2010,ACAD,2504208
2011,ACAD,2374645
2012,ACAD,2431052
2013,ACAD,2254922
2014,ACAD,2563129
2015,ACAD,2811184
2016,ACAD,3303393
2017,ACAD,3509271
2018,ACAD,3537575
2019,ACAD,3437286
2020,ACAD,2669034
2021,ACAD,4069098
2022,ACAD,3970260
2023,ACAD,3879890
2024,ACAD,3961661
2020,KAWW,41432
2021,KAWW,39485
2022,KAWW,43231
2023,KAWW,38455
2024,KAWW,35173
